Date,Start (ET),Visitor,Visitor PTS,Home,Home PTS,,,Attend.,Notes
Fri Dec 6 2019,7:00p,IND,101,DET,108,Box Score,,14894,
Fri Dec 6 2019,8:00p,DEN,95,BOS,108,Box Score,,19156,
Fri Dec 6 2019,8:00p,GSW,100,CHI,98,Box Score,,18841,
Fri Dec 6 2019,8:00p,WAS,103,MIA,112,Box Score,,19600,
Fri Dec 6 2019,8:00p,MIN,127,OKC,139,Box Score,OT,18203,
Fri Dec 6 2019,8:30p,LAC,91,MIL,119,Box Score,,17732,
Fri Dec 6 2019,8:30p,SAC,104,SAS,105,Box Score,OT,18354,
Fri Dec 6 2019,10:30p,LAL,136,POR,113,Box Score,,19912,
Sat Dec 7 2019,2:00p,NOP,84,DAL,130,Box Score,,19456,
Sat Dec 7 2019,7:30p,IND,104,NYK,103,Box Score,,19110,
Sat Dec 7 2019,7:30p,CLE,94,PHI,141,Box Score,,20844,
Sat Dec 7 2019,8:00p,PHO,109,HOU,115,Box Score,,18055,
Sat Dec 7 2019,10:00p,MEM,112,UTA,126,Box Score,,18306,
Sun Dec 8 2019,3:00p,DEN,102,BRK,105,Box Score,,16679,
Sun Dec 8 2019,5:00p,ATL,122,CHO,107,Box Score,,15489,
Sun Dec 8 2019,6:00p,CHI,105,MIA,110,Box Score,OT,19600,
Sun Dec 8 2019,6:00p,TOR,104,PHI,110,Box Score,,20313,
Sun Dec 8 2019,6:00p,LAC,135,WAS,119,Box Score,,15946,
Sun Dec 8 2019,7:00p,SAC,110,DAL,106,Box Score,,19566,
Sun Dec 8 2019,9:00p,OKC,108,POR,96,Box Score,,19393,
Sun Dec 8 2019,9:30p,MIN,125,LAL,142,Box Score,,18997,
Mon Dec 9 2019,7:00p,LAC,110,IND,99,Box Score,,14644,
Mon Dec 9 2019,7:30p,CLE,88,BOS,110,Box Score,,19156,
Mon Dec 9 2019,8:00p,TOR,93,CHI,92,Box Score,,14775,
Mon Dec 9 2019,8:00p,SAC,119,HOU,118,Box Score,,18055,
Mon Dec 9 2019,8:00p,ORL,101,MIL,110,Box Score,,17385,
Mon Dec 9 2019,8:00p,DET,105,NOP,103,Box Score,,13694,
Mon Dec 9 2019,9:00p,MIN,109,PHO,125,Box Score,,13230,
Mon Dec 9 2019,9:00p,OKC,104,UTA,90,Box Score,,18306,
Mon Dec 9 2019,10:30p,MEM,110,GSW,102,Box Score,,18064,
